"","Age","Electorate","Sex","count","right_left"
"411","70–74 Years","Dunedin North","Male",837,-0.230640044784475
"412","75–79 Years","Dunedin North","Male",576,-0.230640044784475
"413","80–84 Years","Dunedin North","Male",450,-0.230640044784475
"414","85 Years And Over","Dunedin North","Male",291,-0.230640044784475
"415","0–4 Years","Dunedin North","Female",1302,-0.230640044784475
"416","5–9 Years","Dunedin North","Female",1314,-0.230640044784475
"417","10–14 Years","Dunedin North","Female",1437,-0.230640044784475
"418","15–19 Years","Dunedin North","Female",5013,-0.230640044784475
"419","20–24 Years","Dunedin North","Female",5283,-0.230640044784475
"420","25–29 Years","Dunedin North","Female",1773,-0.230640044784475
"421","30–34 Years","Dunedin North","Female",1587,-0.230640044784475
"422","35–39 Years","Dunedin North","Female",1602,-0.230640044784475
"423","40–44 Years","Dunedin North","Female",1836,-0.230640044784475
"424","45–49 Years","Dunedin North","Female",1848,-0.230640044784475
"425","50–54 Years","Dunedin North","Female",2019,-0.230640044784475
"426","55–59 Years","Dunedin North","Female",1761,-0.230640044784475
"427","60–64 Years","Dunedin North","Female",1461,-0.230640044784475
"428","65–69 Years","Dunedin North","Female",1158,-0.230640044784475
"429","70–74 Years","Dunedin North","Female",894,-0.230640044784475
"430","75–79 Years","Dunedin North","Female",675,-0.230640044784475
"431","80–84 Years","Dunedin North","Female",582,-0.230640044784475
"432","85 Years And Over","Dunedin North","Female",630,-0.230640044784475
"433","0–4 Years","Kelston","Male",2844,-0.198590232323959
"434","5–9 Years","Kelston","Male",2418,-0.198590232323959
"435","10–14 Years","Kelston","Male",2214,-0.198590232323959
"436","15–19 Years","Kelston","Male",2286,-0.198590232323959
"437","20–24 Years","Kelston","Male",2361,-0.198590232323959
"438","25–29 Years","Kelston","Male",2178,-0.198590232323959
"439","30–34 Years","Kelston","Male",2301,-0.198590232323959
"440","35–39 Years","Kelston","Male",2217,-0.198590232323959
"441","40–44 Years","Kelston","Male",2268,-0.198590232323959
"442","45–49 Years","Kelston","Male",2040,-0.198590232323959
"443","50–54 Years","Kelston","Male",1938,-0.198590232323959
"444","55–59 Years","Kelston","Male",1584,-0.198590232323959
"445","60–64 Years","Kelston","Male",1245,-0.198590232323959
"446","65–69 Years","Kelston","Male",975,-0.198590232323959
"447","70–74 Years","Kelston","Male",711,-0.198590232323959
"448","75–79 Years","Kelston","Male",432,-0.198590232323959
"449","80–84 Years","Kelston","Male",315,-0.198590232323959
"450","85 Years And Over","Kelston","Male",177,-0.198590232323959
"451","0–4 Years","Kelston","Female",2649,-0.198590232323959
"452","5–9 Years","Kelston","Female",2166,-0.198590232323959
"453","10–14 Years","Kelston","Female",2139,-0.198590232323959
"454","15–19 Years","Kelston","Female",2340,-0.198590232323959
"455","20–24 Years","Kelston","Female",2514,-0.198590232323959
"456","25–29 Years","Kelston","Female",2514,-0.198590232323959
"457","30–34 Years","Kelston","Female",2583,-0.198590232323959
"458","35–39 Years","Kelston","Female",2415,-0.198590232323959
"459","40–44 Years","Kelston","Female",2496,-0.198590232323959
"460","45–49 Years","Kelston","Female",2286,-0.198590232323959
"461","50–54 Years","Kelston","Female",2181,-0.198590232323959
"462","55–59 Years","Kelston","Female",1788,-0.198590232323959
"463","60–64 Years","Kelston","Female",1326,-0.198590232323959
"464","65–69 Years","Kelston","Female",1080,-0.198590232323959
"465","70–74 Years","Kelston","Female",768,-0.198590232323959
"466","75–79 Years","Kelston","Female",582,-0.198590232323959
"467","80–84 Years","Kelston","Female",402,-0.198590232323959
"468","85 Years And Over","Kelston","Female",360,-0.198590232323959
"469","0–4 Years","Wellington Central","Male",1242,-0.158888107728084
"470","5–9 Years","Wellington Central","Male",1266,-0.158888107728084
"471","10–14 Years","Wellington Central","Male",1299,-0.158888107728084
"472","15–19 Years","Wellington Central","Male",2874,-0.158888107728084
"473","20–24 Years","Wellington Central","Male",4812,-0.158888107728084
"474","25–29 Years","Wellington Central","Male",3780,-0.158888107728084
"475","30–34 Years","Wellington Central","Male",2940,-0.158888107728084
"476","35–39 Years","Wellington Central","Male",2157,-0.158888107728084
"477","40–44 Years","Wellington Central","Male",1905,-0.158888107728084
"478","45–49 Years","Wellington Central","Male",1803,-0.158888107728084
"479","50–54 Years","Wellington Central","Male",1653,-0.158888107728084
"480","55–59 Years","Wellington Central","Male",1308,-0.158888107728084
"481","60–64 Years","Wellington Central","Male",1254,-0.158888107728084
"482","65–69 Years","Wellington Central","Male",942,-0.158888107728084
"483","70–74 Years","Wellington Central","Male",567,-0.158888107728084
"484","75–79 Years","Wellington Central","Male",345,-0.158888107728084
"485","80–84 Years","Wellington Central","Male",261,-0.158888107728084
"486","85 Years And Over","Wellington Central","Male",186,-0.158888107728084
"487","0–4 Years","Wellington Central","Female",1158,-0.158888107728084
"488","5–9 Years","Wellington Central","Female",1152,-0.158888107728084
"489","10–14 Years","Wellington Central","Female",1170,-0.158888107728084
"490","15–19 Years","Wellington Central","Female",3714,-0.158888107728084
"491","20–24 Years","Wellington Central","Female",5673,-0.158888107728084
"492","25–29 Years","Wellington Central","Female",3756,-0.158888107728084
"493","30–34 Years","Wellington Central","Female",2748,-0.158888107728084
"494","35–39 Years","Wellington Central","Female",2004,-0.158888107728084
"495","40–44 Years","Wellington Central","Female",1974,-0.158888107728084
"496","45–49 Years","Wellington Central","Female",1890,-0.158888107728084
"497","50–54 Years","Wellington Central","Female",1776,-0.158888107728084
"498","55–59 Years","Wellington Central","Female",1494,-0.158888107728084
"499","60–64 Years","Wellington Central","Female",1248,-0.158888107728084
"500","65–69 Years","Wellington Central","Female",903,-0.158888107728084
"501","70–74 Years","Wellington Central","Female",597,-0.158888107728084
"502","75–79 Years","Wellington Central","Female",411,-0.158888107728084
"503","80–84 Years","Wellington Central","Female",363,-0.158888107728084
"504","85 Years And Over","Wellington Central","Female",318,-0.158888107728084
"505","0–4 Years","Mt Albert","Male",2334,-0.114642191309336
"506","5–9 Years","Mt Albert","Male",2067,-0.114642191309336
"507","10–14 Years","Mt Albert","Male",1746,-0.114642191309336
"508","15–19 Years","Mt Albert","Male",1839,-0.114642191309336
"509","20–24 Years","Mt Albert","Male",2757,-0.114642191309336
"510","25–29 Years","Mt Albert","Male",2928,-0.114642191309336
"511","30–34 Years","Mt Albert","Male",2877,-0.114642191309336
"512","35–39 Years","Mt Albert","Male",2757,-0.114642191309336
"513","40–44 Years","Mt Albert","Male",2607,-0.114642191309336
"514","45–49 Years","Mt Albert","Male",2283,-0.114642191309336
"515","50–54 Years","Mt Albert","Male",1932,-0.114642191309336
"516","55–59 Years","Mt Albert","Male",1470,-0.114642191309336
"517","60–64 Years","Mt Albert","Male",1155,-0.114642191309336
"518","65–69 Years","Mt Albert","Male",777,-0.114642191309336
"519","70–74 Years","Mt Albert","Male",564,-0.114642191309336
"520","75–79 Years","Mt Albert","Male",387,-0.114642191309336
"521","80–84 Years","Mt Albert","Male",306,-0.114642191309336
"522","85 Years And Over","Mt Albert","Male",270,-0.114642191309336
"523","0–4 Years","Mt Albert","Female",2277,-0.114642191309336
"524","5–9 Years","Mt Albert","Female",1983,-0.114642191309336
"525","10–14 Years","Mt Albert","Female",1578,-0.114642191309336
"526","15–19 Years","Mt Albert","Female",1770,-0.114642191309336
"527","20–24 Years","Mt Albert","Female",2808,-0.114642191309336
"528","25–29 Years","Mt Albert","Female",3225,-0.114642191309336
"529","30–34 Years","Mt Albert","Female",3078,-0.114642191309336
"530","35–39 Years","Mt Albert","Female",2964,-0.114642191309336
"531","40–44 Years","Mt Albert","Female",2817,-0.114642191309336
"532","45–49 Years","Mt Albert","Female",2307,-0.114642191309336
"533","50–54 Years","Mt Albert","Female",2028,-0.114642191309336
"534","55–59 Years","Mt Albert","Female",1575,-0.114642191309336
"535","60–64 Years","Mt Albert","Female",1206,-0.114642191309336
"536","65–69 Years","Mt Albert","Female",822,-0.114642191309336
"537","70–74 Years","Mt Albert","Female",639,-0.114642191309336
"538","75–79 Years","Mt Albert","Female",495,-0.114642191309336
"539","80–84 Years","Mt Albert","Female",405,-0.114642191309336
"540","85 Years And Over","Mt Albert","Female",570,-0.114642191309336
"541","0–4 Years","Mana","Male",2868,-0.0517750156487526
"542","5–9 Years","Mana","Male",2742,-0.0517750156487526
"543","10–14 Years","Mana","Male",2712,-0.0517750156487526
"544","15–19 Years","Mana","Male",2568,-0.0517750156487526
"545","20–24 Years","Mana","Male",1977,-0.0517750156487526
"546","25–29 Years","Mana","Male",1602,-0.0517750156487526
"547","30–34 Years","Mana","Male",1839,-0.0517750156487526
"548","35–39 Years","Mana","Male",2172,-0.0517750156487526
"549","40–44 Years","Mana","Male",2538,-0.0517750156487526
"550","45–49 Years","Mana","Male",2511,-0.0517750156487526
"551","50–54 Years","Mana","Male",2250,-0.0517750156487526
"552","55–59 Years","Mana","Male",2061,-0.0517750156487526
"553","60–64 Years","Mana","Male",1710,-0.0517750156487526
"554","65–69 Years","Mana","Male",1395,-0.0517750156487526
"555","70–74 Years","Mana","Male",987,-0.0517750156487526
"556","75–79 Years","Mana","Male",597,-0.0517750156487526
"557","80–84 Years","Mana","Male",429,-0.0517750156487526
"558","85 Years And Over","Mana","Male",297,-0.0517750156487526
"559","0–4 Years","Mana","Female",2751,-0.0517750156487526
"560","5–9 Years","Mana","Female",2754,-0.0517750156487526
"561","10–14 Years","Mana","Female",2586,-0.0517750156487526
"562","15–19 Years","Mana","Female",2403,-0.0517750156487526
"563","20–24 Years","Mana","Female",2172,-0.0517750156487526
"564","25–29 Years","Mana","Female",1857,-0.0517750156487526
"565","30–34 Years","Mana","Female",2208,-0.0517750156487526
"566","35–39 Years","Mana","Female",2598,-0.0517750156487526
"567","40–44 Years","Mana","Female",2925,-0.0517750156487526
"568","45–49 Years","Mana","Female",2691,-0.0517750156487526
"569","50–54 Years","Mana","Female",2604,-0.0517750156487526
"570","55–59 Years","Mana","Female",2118,-0.0517750156487526
"571","60–64 Years","Mana","Female",1887,-0.0517750156487526
"572","65–69 Years","Mana","Female",1434,-0.0517750156487526
"573","70–74 Years","Mana","Female",1080,-0.0517750156487526
"574","75–79 Years","Mana","Female",732,-0.0517750156487526
"575","80–84 Years","Mana","Female",585,-0.0517750156487526
"576","85 Years And Over","Mana","Female",534,-0.0517750156487526
"577","0–4 Years","Dunedin South","Male",1896,-0.0361903630911736
"578","5–9 Years","Dunedin South","Male",1974,-0.0361903630911736
"579","10–14 Years","Dunedin South","Male",2040,-0.0361903630911736
"580","15–19 Years","Dunedin South","Male",1941,-0.0361903630911736
"581","20–24 Years","Dunedin South","Male",1452,-0.0361903630911736
"582","25–29 Years","Dunedin South","Male",1476,-0.0361903630911736
"583","30–34 Years","Dunedin South","Male",1545,-0.0361903630911736
"584","35–39 Years","Dunedin South","Male",1617,-0.0361903630911736
"585","40–44 Years","Dunedin South","Male",2040,-0.0361903630911736
"586","45–49 Years","Dunedin South","Male",2061,-0.0361903630911736
"587","50–54 Years","Dunedin South","Male",2247,-0.0361903630911736
"588","55–59 Years","Dunedin South","Male",2124,-0.0361903630911736
"589","60–64 Years","Dunedin South","Male",1791,-0.0361903630911736
"590","65–69 Years","Dunedin South","Male",1554,-0.0361903630911736
"591","70–74 Years","Dunedin South","Male",1173,-0.0361903630911736
"592","75–79 Years","Dunedin South","Male",903,-0.0361903630911736
"593","80–84 Years","Dunedin South","Male",708,-0.0361903630911736
"594","85 Years And Over","Dunedin South","Male",594,-0.0361903630911736
"595","0–4 Years","Dunedin South","Female",1812,-0.0361903630911736
"596","5–9 Years","Dunedin South","Female",1848,-0.0361903630911736
"597","10–14 Years","Dunedin South","Female",1800,-0.0361903630911736
"598","15–19 Years","Dunedin South","Female",1791,-0.0361903630911736
"599","20–24 Years","Dunedin South","Female",1527,-0.0361903630911736
"600","25–29 Years","Dunedin South","Female",1596,-0.0361903630911736
"601","30–34 Years","Dunedin South","Female",1743,-0.0361903630911736
"602","35–39 Years","Dunedin South","Female",1998,-0.0361903630911736
"603","40–44 Years","Dunedin South","Female",2409,-0.0361903630911736
"604","45–49 Years","Dunedin South","Female",2349,-0.0361903630911736
"605","50–54 Years","Dunedin South","Female",2442,-0.0361903630911736
"606","55–59 Years","Dunedin South","Female",2118,-0.0361903630911736
"607","60–64 Years","Dunedin South","Female",1968,-0.0361903630911736
"608","65–69 Years","Dunedin South","Female",1617,-0.0361903630911736
"609","70–74 Years","Dunedin South","Female",1419,-0.0361903630911736
"610","75–79 Years","Dunedin South","Female",1149,-0.0361903630911736
"611","80–84 Years","Dunedin South","Female",1008,-0.0361903630911736
"612","85 Years And Over","Dunedin South","Female",1095,-0.0361903630911736
"613","0–4 Years","New Lynn","Male",2247,-0.0294845092423848
"614","5–9 Years","New Lynn","Male",1971,-0.0294845092423848
"615","10–14 Years","New Lynn","Male",1845,-0.0294845092423848
"616","15–19 Years","New Lynn","Male",2166,-0.0294845092423848
"617","20–24 Years","New Lynn","Male",2274,-0.0294845092423848
"618","25–29 Years","New Lynn","Male",2223,-0.0294845092423848
"619","30–34 Years","New Lynn","Male",2190,-0.0294845092423848
"620","35–39 Years","New Lynn","Male",2058,-0.0294845092423848
"621","40–44 Years","New Lynn","Male",2157,-0.0294845092423848
"622","45–49 Years","New Lynn","Male",2052,-0.0294845092423848
"623","50–54 Years","New Lynn","Male",1992,-0.0294845092423848
"624","55–59 Years","New Lynn","Male",1659,-0.0294845092423848
"625","60–64 Years","New Lynn","Male",1347,-0.0294845092423848
"626","65–69 Years","New Lynn","Male",1089,-0.0294845092423848
"627","70–74 Years","New Lynn","Male",939,-0.0294845092423848
"628","75–79 Years","New Lynn","Male",762,-0.0294845092423848
"629","80–84 Years","New Lynn","Male",519,-0.0294845092423848
"630","85 Years And Over","New Lynn","Male",402,-0.0294845092423848
"631","0–4 Years","New Lynn","Female",2088,-0.0294845092423848
"632","5–9 Years","New Lynn","Female",1809,-0.0294845092423848
"633","10–14 Years","New Lynn","Female",1746,-0.0294845092423848
"634","15–19 Years","New Lynn","Female",2034,-0.0294845092423848
"635","20–24 Years","New Lynn","Female",2214,-0.0294845092423848
"636","25–29 Years","New Lynn","Female",2220,-0.0294845092423848
"637","30–34 Years","New Lynn","Female",2427,-0.0294845092423848
"638","35–39 Years","New Lynn","Female",2169,-0.0294845092423848
"639","40–44 Years","New Lynn","Female",2394,-0.0294845092423848
"640","45–49 Years","New Lynn","Female",2331,-0.0294845092423848
"641","50–54 Years","New Lynn","Female",2070,-0.0294845092423848
"642","55–59 Years","New Lynn","Female",1734,-0.0294845092423848
"643","60–64 Years","New Lynn","Female",1464,-0.0294845092423848
"644","65–69 Years","New Lynn","Female",1218,-0.0294845092423848
"645","70–74 Years","New Lynn","Female",1095,-0.0294845092423848
"646","75–79 Years","New Lynn","Female",918,-0.0294845092423848
"647","80–84 Years","New Lynn","Female",720,-0.0294845092423848
"648","85 Years And Over","New Lynn","Female",726,-0.0294845092423848
"649","0–4 Years","Christchurch East","Male",2310,-0.0261212079331076
"650","5–9 Years","Christchurch East","Male",2187,-0.0261212079331076
"651","10–14 Years","Christchurch East","Male",2106,-0.0261212079331076
"652","15–19 Years","Christchurch East","Male",2187,-0.0261212079331076
"653","20–24 Years","Christchurch East","Male",2025,-0.0261212079331076
"654","25–29 Years","Christchurch East","Male",1923,-0.0261212079331076
"655","30–34 Years","Christchurch East","Male",1983,-0.0261212079331076
"656","35–39 Years","Christchurch East","Male",2196,-0.0261212079331076
"657","40–44 Years","Christchurch East","Male",2496,-0.0261212079331076
"658","45–49 Years","Christchurch East","Male",2337,-0.0261212079331076
"659","50–54 Years","Christchurch East","Male",2364,-0.0261212079331076
"660","55–59 Years","Christchurch East","Male",2019,-0.0261212079331076
"661","60–64 Years","Christchurch East","Male",1794,-0.0261212079331076
"662","65–69 Years","Christchurch East","Male",1371,-0.0261212079331076
"663","70–74 Years","Christchurch East","Male",930,-0.0261212079331076
"664","75–79 Years","Christchurch East","Male",696,-0.0261212079331076
"665","80–84 Years","Christchurch East","Male",531,-0.0261212079331076
"666","85 Years And Over","Christchurch East","Male",405,-0.0261212079331076
"667","0–4 Years","Christchurch East","Female",2304,-0.0261212079331076
"668","5–9 Years","Christchurch East","Female",2019,-0.0261212079331076
"669","10–14 Years","Christchurch East","Female",2052,-0.0261212079331076
"670","15–19 Years","Christchurch East","Female",1989,-0.0261212079331076
"671","20–24 Years","Christchurch East","Female",1980,-0.0261212079331076
"672","25–29 Years","Christchurch East","Female",1929,-0.0261212079331076
"673","30–34 Years","Christchurch East","Female",2127,-0.0261212079331076
"674","35–39 Years","Christchurch East","Female",2379,-0.0261212079331076
"675","40–44 Years","Christchurch East","Female",2538,-0.0261212079331076
"676","45–49 Years","Christchurch East","Female",2421,-0.0261212079331076
"677","50–54 Years","Christchurch East","Female",2469,-0.0261212079331076
"678","55–59 Years","Christchurch East","Female",2136,-0.0261212079331076
"679","60–64 Years","Christchurch East","Female",1836,-0.0261212079331076
"680","65–69 Years","Christchurch East","Female",1476,-0.0261212079331076
"681","70–74 Years","Christchurch East","Female",1089,-0.0261212079331076
"682","75–79 Years","Christchurch East","Female",801,-0.0261212079331076
"683","80–84 Years","Christchurch East","Female",714,-0.0261212079331076
"684","85 Years And Over","Christchurch East","Female",642,-0.0261212079331076
"685","0–4 Years","Maungakiekie","Male",2997,0.00486702044148585
"686","5–9 Years","Maungakiekie","Male",2238,0.00486702044148585
"687","10–14 Years","Maungakiekie","Male",1932,0.00486702044148585
"688","15–19 Years","Maungakiekie","Male",1923,0.00486702044148585
"689","20–24 Years","Maungakiekie","Male",2457,0.00486702044148585
"690","25–29 Years","Maungakiekie","Male",2799,0.00486702044148585
"691","30–34 Years","Maungakiekie","Male",3060,0.00486702044148585
"692","35–39 Years","Maungakiekie","Male",2664,0.00486702044148585
"693","40–44 Years","Maungakiekie","Male",2379,0.00486702044148585
"694","45–49 Years","Maungakiekie","Male",1992,0.00486702044148585
"695","50–54 Years","Maungakiekie","Male",1911,0.00486702044148585
"696","55–59 Years","Maungakiekie","Male",1665,0.00486702044148585
"697","60–64 Years","Maungakiekie","Male",1449,0.00486702044148585
"698","65–69 Years","Maungakiekie","Male",1065,0.00486702044148585
"699","70–74 Years","Maungakiekie","Male",777,0.00486702044148585
"700","75–79 Years","Maungakiekie","Male",573,0.00486702044148585
"701","80–84 Years","Maungakiekie","Male",366,0.00486702044148585
"702","85 Years And Over","Maungakiekie","Male",315,0.00486702044148585
"703","0–4 Years","Maungakiekie","Female",2808,0.00486702044148585
"704","5–9 Years","Maungakiekie","Female",2208,0.00486702044148585
"705","10–14 Years","Maungakiekie","Female",1827,0.00486702044148585
"706","15–19 Years","Maungakiekie","Female",1938,0.00486702044148585
"707","20–24 Years","Maungakiekie","Female",2754,0.00486702044148585
"708","25–29 Years","Maungakiekie","Female",3174,0.00486702044148585
"709","30–34 Years","Maungakiekie","Female",3363,0.00486702044148585
"710","35–39 Years","Maungakiekie","Female",2859,0.00486702044148585
"711","40–44 Years","Maungakiekie","Female",2538,0.00486702044148585
"712","45–49 Years","Maungakiekie","Female",2214,0.00486702044148585
"713","50–54 Years","Maungakiekie","Female",2064,0.00486702044148585
"714","55–59 Years","Maungakiekie","Female",1860,0.00486702044148585
"715","60–64 Years","Maungakiekie","Female",1560,0.00486702044148585
"716","65–69 Years","Maungakiekie","Female",1173,0.00486702044148585
"717","70–74 Years","Maungakiekie","Female",927,0.00486702044148585
"718","75–79 Years","Maungakiekie","Female",600,0.00486702044148585
"719","80–84 Years","Maungakiekie","Female",501,0.00486702044148585
"720","85 Years And Over","Maungakiekie","Female",645,0.00486702044148585
"721","0–4 Years","Mt Roskill","Male",2178,0.0143423287412719
"722","5–9 Years","Mt Roskill","Male",2031,0.0143423287412719
"723","10–14 Years","Mt Roskill","Male",1875,0.0143423287412719
"724","15–19 Years","Mt Roskill","Male",2166,0.0143423287412719
"725","20–24 Years","Mt Roskill","Male",2667,0.0143423287412719
"726","25–29 Years","Mt Roskill","Male",2358,0.0143423287412719
"727","30–34 Years","Mt Roskill","Male",2190,0.0143423287412719
"728","35–39 Years","Mt Roskill","Male",1929,0.0143423287412719
"729","40–44 Years","Mt Roskill","Male",2031,0.0143423287412719
"730","45–49 Years","Mt Roskill","Male",2022,0.0143423287412719
"731","50–54 Years","Mt Roskill","Male",1959,0.0143423287412719
"732","55–59 Years","Mt Roskill","Male",1725,0.0143423287412719
"733","60–64 Years","Mt Roskill","Male",1461,0.0143423287412719
"734","65–69 Years","Mt Roskill","Male",948,0.0143423287412719
"735","70–74 Years","Mt Roskill","Male",798,0.0143423287412719
"736","75–79 Years","Mt Roskill","Male",549,0.0143423287412719
"737","80–84 Years","Mt Roskill","Male",381,0.0143423287412719
"738","85 Years And Over","Mt Roskill","Male",345,0.0143423287412719
"739","0–4 Years","Mt Roskill","Female",2037,0.0143423287412719
"740","5–9 Years","Mt Roskill","Female",1938,0.0143423287412719
"741","10–14 Years","Mt Roskill","Female",1815,0.0143423287412719
"742","15–19 Years","Mt Roskill","Female",2172,0.0143423287412719
"743","20–24 Years","Mt Roskill","Female",2694,0.0143423287412719
"744","25–29 Years","Mt Roskill","Female",2532,0.0143423287412719
"745","30–34 Years","Mt Roskill","Female",2373,0.0143423287412719
"746","35–39 Years","Mt Roskill","Female",2217,0.0143423287412719
"747","40–44 Years","Mt Roskill","Female",2364,0.0143423287412719
"748","45–49 Years","Mt Roskill","Female",2244,0.0143423287412719
"749","50–54 Years","Mt Roskill","Female",2235,0.0143423287412719
"750","55–59 Years","Mt Roskill","Female",1824,0.0143423287412719
"751","60–64 Years","Mt Roskill","Female",1446,0.0143423287412719
"752","65–69 Years","Mt Roskill","Female",1122,0.0143423287412719
"753","70–74 Years","Mt Roskill","Female",885,0.0143423287412719
"754","75–79 Years","Mt Roskill","Female",663,0.0143423287412719
"755","80–84 Years","Mt Roskill","Female",516,0.0143423287412719
"756","85 Years And Over","Mt Roskill","Female",705,0.0143423287412719
"757","0–4 Years","Te Atatū","Male",3015,0.0213518382598252
"758","5–9 Years","Te Atatū","Male",2496,0.0213518382598252
"759","10–14 Years","Te Atatū","Male",2373,0.0213518382598252
"760","15–19 Years","Te Atatū","Male",2448,0.0213518382598252
"761","20–24 Years","Te Atatū","Male",2334,0.0213518382598252
"762","25–29 Years","Te Atatū","Male",2067,0.0213518382598252
"763","30–34 Years","Te Atatū","Male",2292,0.0213518382598252
"764","35–39 Years","Te Atatū","Male",2364,0.0213518382598252
"765","40–44 Years","Te Atatū","Male",2400,0.0213518382598252
"766","45–49 Years","Te Atatū","Male",2208,0.0213518382598252
"767","50–54 Years","Te Atatū","Male",2109,0.0213518382598252
"768","55–59 Years","Te Atatū","Male",1677,0.0213518382598252
"769","60–64 Years","Te Atatū","Male",1395,0.0213518382598252
"770","65–69 Years","Te Atatū","Male",1152,0.0213518382598252
"771","70–74 Years","Te Atatū","Male",867,0.0213518382598252
"772","75–79 Years","Te Atatū","Male",663,0.0213518382598252
"773","80–84 Years","Te Atatū","Male",492,0.0213518382598252
"774","85 Years And Over","Te Atatū","Male",324,0.0213518382598252
"775","0–4 Years","Te Atatū","Female",2835,0.0213518382598252
"776","5–9 Years","Te Atatū","Female",2418,0.0213518382598252
"777","10–14 Years","Te Atatū","Female",2304,0.0213518382598252
"778","15–19 Years","Te Atatū","Female",2466,0.0213518382598252
"779","20–24 Years","Te Atatū","Female",2343,0.0213518382598252
"780","25–29 Years","Te Atatū","Female",2412,0.0213518382598252
"781","30–34 Years","Te Atatū","Female",2685,0.0213518382598252
"782","35–39 Years","Te Atatū","Female",2598,0.0213518382598252
"783","40–44 Years","Te Atatū","Female",2661,0.0213518382598252
"784","45–49 Years","Te Atatū","Female",2436,0.0213518382598252
"785","50–54 Years","Te Atatū","Female",2214,0.0213518382598252
"786","55–59 Years","Te Atatū","Female",1872,0.0213518382598252
"787","60–64 Years","Te Atatū","Female",1617,0.0213518382598252
"788","65–69 Years","Te Atatū","Female",1323,0.0213518382598252
"789","70–74 Years","Te Atatū","Female",1038,0.0213518382598252
"790","75–79 Years","Te Atatū","Female",801,0.0213518382598252
"791","80–84 Years","Te Atatū","Female",633,0.0213518382598252
"792","85 Years And Over","Te Atatū","Female",555,0.0213518382598252
"793","0–4 Years","Auckland Central","Male",1134,0.0216591434965672
"794","5–9 Years","Auckland Central","Male",888,0.0216591434965672
"795","10–14 Years","Auckland Central","Male",729,0.0216591434965672
"796","15–19 Years","Auckland Central","Male",2268,0.0216591434965672
"797","20–24 Years","Auckland Central","Male",5091,0.0216591434965672
"798","25–29 Years","Auckland Central","Male",4818,0.0216591434965672
"799","30–34 Years","Auckland Central","Male",3420,0.0216591434965672
"800","35–39 Years","Auckland Central","Male",2088,0.0216591434965672
"801","40–44 Years","Auckland Central","Male",1923,0.0216591434965672
"802","45–49 Years","Auckland Central","Male",1653,0.0216591434965672
"803","50–54 Years","Auckland Central","Male",1587,0.0216591434965672
"804","55–59 Years","Auckland Central","Male",1353,0.0216591434965672
"805","60–64 Years","Auckland Central","Male",1290,0.0216591434965672
"806","65–69 Years","Auckland Central","Male",960,0.0216591434965672
"807","70–74 Years","Auckland Central","Male",618,0.0216591434965672
"808","75–79 Years","Auckland Central","Male",324,0.0216591434965672
"809","80–84 Years","Auckland Central","Male",186,0.0216591434965672
"810","85 Years And Over","Auckland Central","Male",144,0.0216591434965672
"811","0–4 Years","Auckland Central","Female",1074,0.0216591434965672
"812","5–9 Years","Auckland Central","Female",849,0.0216591434965672
"813","10–14 Years","Auckland Central","Female",741,0.0216591434965672
"814","15–19 Years","Auckland Central","Female",2547,0.0216591434965672
"815","20–24 Years","Auckland Central","Female",4974,0.0216591434965672
"816","25–29 Years","Auckland Central","Female",4575,0.0216591434965672
"817","30–34 Years","Auckland Central","Female",3153,0.0216591434965672
"818","35–39 Years","Auckland Central","Female",2073,0.0216591434965672
"819","40–44 Years","Auckland Central","Female",1755,0.0216591434965672
"820","45–49 Years","Auckland Central","Female",1590,0.0216591434965672
"821","50–54 Years","Auckland Central","Female",1569,0.0216591434965672
"822","55–59 Years","Auckland Central","Female",1386,0.0216591434965672
"823","60–64 Years","Auckland Central","Female",1257,0.0216591434965672
"824","65–69 Years","Auckland Central","Female",939,0.0216591434965672
"825","70–74 Years","Auckland Central","Female",540,0.0216591434965672
"826","75–79 Years","Auckland Central","Female",276,0.0216591434965672
"827","80–84 Years","Auckland Central","Female",225,0.0216591434965672
"828","85 Years And Over","Auckland Central","Female",213,0.0216591434965672
"829","0–4 Years","Rimutaka","Male",2538,0.0403384011770476
"830","5–9 Years","Rimutaka","Male",2466,0.0403384011770476
"831","10–14 Years","Rimutaka","Male",2577,0.0403384011770476
"832","15–19 Years","Rimutaka","Male",2484,0.0403384011770476
"833","20–24 Years","Rimutaka","Male",2118,0.0403384011770476
"834","25–29 Years","Rimutaka","Male",1863,0.0403384011770476
"835","30–34 Years","Rimutaka","Male",1932,0.0403384011770476
"836","35–39 Years","Rimutaka","Male",2268,0.0403384011770476
"837","40–44 Years","Rimutaka","Male",2562,0.0403384011770476
"838","45–49 Years","Rimutaka","Male",2472,0.0403384011770476
"839","50–54 Years","Rimutaka","Male",2418,0.0403384011770476
"840","55–59 Years","Rimutaka","Male",1971,0.0403384011770476
"841","60–64 Years","Rimutaka","Male",1743,0.0403384011770476
"842","65–69 Years","Rimutaka","Male",1425,0.0403384011770476
"843","70–74 Years","Rimutaka","Male",1104,0.0403384011770476
"844","75–79 Years","Rimutaka","Male",738,0.0403384011770476
"845","80–84 Years","Rimutaka","Male",597,0.0403384011770476
"846","85 Years And Over","Rimutaka","Male",438,0.0403384011770476
"847","0–4 Years","Rimutaka","Female",2508,0.0403384011770476
"848","5–9 Years","Rimutaka","Female",2319,0.0403384011770476
"849","10–14 Years","Rimutaka","Female",2400,0.0403384011770476
