"","Age","Electorate","Sex","count","right_left"
"79","30–34 Years","Te Tai Hauāuru","Male",2487,-0.772837050717431
"80","35–39 Years","Te Tai Hauāuru","Male",2478,-0.772837050717431
"81","40–44 Years","Te Tai Hauāuru","Male",2814,-0.772837050717431
"82","45–49 Years","Te Tai Hauāuru","Male",2649,-0.772837050717431
"83","50–54 Years","Te Tai Hauāuru","Male",2463,-0.772837050717431
"84","55–59 Years","Te Tai Hauāuru","Male",1908,-0.772837050717431
"85","60–64 Years","Te Tai Hauāuru","Male",1494,-0.772837050717431
"86","65–69 Years","Te Tai Hauāuru","Male",1017,-0.772837050717431
"87","70–74 Years","Te Tai Hauāuru","Male",765,-0.772837050717431
"88","75–79 Years","Te Tai Hauāuru","Male",441,-0.772837050717431
"89","80–84 Years","Te Tai Hauāuru","Male",213,-0.772837050717431
"90","85 Years And Over","Te Tai Hauāuru","Male",93,-0.772837050717431
"91","0–4 Years","Te Tai Hauāuru","Female",5697,-0.772837050717431
"92","5–9 Years","Te Tai Hauāuru","Female",5331,-0.772837050717431
"93","10–14 Years","Te Tai Hauāuru","Female",5145,-0.772837050717431
"94","15–19 Years","Te Tai Hauāuru","Female",4725,-0.772837050717431
"95","20–24 Years","Te Tai Hauāuru","Female",3984,-0.772837050717431
"96","25–29 Years","Te Tai Hauāuru","Female",3282,-0.772837050717431
"97","30–34 Years","Te Tai Hauāuru","Female",3000,-0.772837050717431
"98","35–39 Years","Te Tai Hauāuru","Female",3198,-0.772837050717431
"99","40–44 Years","Te Tai Hauāuru","Female",3387,-0.772837050717431
"100","45–49 Years","Te Tai Hauāuru","Female",2988,-0.772837050717431
"101","50–54 Years","Te Tai Hauāuru","Female",2931,-0.772837050717431
"102","55–59 Years","Te Tai Hauāuru","Female",2184,-0.772837050717431
"103","60–64 Years","Te Tai Hauāuru","Female",1755,-0.772837050717431
"104","65–69 Years","Te Tai Hauāuru","Female",1197,-0.772837050717431
"105","70–74 Years","Te Tai Hauāuru","Female",870,-0.772837050717431
"106","75–79 Years","Te Tai Hauāuru","Female",558,-0.772837050717431
"107","80–84 Years","Te Tai Hauāuru","Female",306,-0.772837050717431
"108","85 Years And Over","Te Tai Hauāuru","Female",189,-0.772837050717431
"109","0–4 Years","Hauraki-Waikato","Male",5907,-0.765763401351617
"110","5–9 Years","Hauraki-Waikato","Male",5532,-0.765763401351617
"111","10–14 Years","Hauraki-Waikato","Male",5226,-0.765763401351617
"112","15–19 Years","Hauraki-Waikato","Male",4641,-0.765763401351617
"113","20–24 Years","Hauraki-Waikato","Male",3636,-0.765763401351617
"114","25–29 Years","Hauraki-Waikato","Male",2679,-0.765763401351617
"115","30–34 Years","Hauraki-Waikato","Male",2391,-0.765763401351617
"116","35–39 Years","Hauraki-Waikato","Male",2529,-0.765763401351617
"117","40–44 Years","Hauraki-Waikato","Male",2619,-0.765763401351617
"118","45–49 Years","Hauraki-Waikato","Male",2325,-0.765763401351617
"119","50–54 Years","Hauraki-Waikato","Male",2283,-0.765763401351617
"120","55–59 Years","Hauraki-Waikato","Male",1767,-0.765763401351617
"121","60–64 Years","Hauraki-Waikato","Male",1350,-0.765763401351617
"122","65–69 Years","Hauraki-Waikato","Male",954,-0.765763401351617
"123","70–74 Years","Hauraki-Waikato","Male",615,-0.765763401351617
"124","75–79 Years","Hauraki-Waikato","Male",315,-0.765763401351617
"125","80–84 Years","Hauraki-Waikato","Male",168,-0.765763401351617
"126","85 Years And Over","Hauraki-Waikato","Male",66,-0.765763401351617
"127","0–4 Years","Hauraki-Waikato","Female",5508,-0.765763401351617
"128","5–9 Years","Hauraki-Waikato","Female",5268,-0.765763401351617
"129","10–14 Years","Hauraki-Waikato","Female",4977,-0.765763401351617
"130","15–19 Years","Hauraki-Waikato","Female",4695,-0.765763401351617
"131","20–24 Years","Hauraki-Waikato","Female",4233,-0.765763401351617
"132","25–29 Years","Hauraki-Waikato","Female",3372,-0.765763401351617
"133","30–34 Years","Hauraki-Waikato","Female",3042,-0.765763401351617
"134","35–39 Years","Hauraki-Waikato","Female",3162,-0.765763401351617
"135","40–44 Years","Hauraki-Waikato","Female",3315,-0.765763401351617
"136","45–49 Years","Hauraki-Waikato","Female",2940,-0.765763401351617
"137","50–54 Years","Hauraki-Waikato","Female",2751,-0.765763401351617
"138","55–59 Years","Hauraki-Waikato","Female",2103,-0.765763401351617
"139","60–64 Years","Hauraki-Waikato","Female",1551,-0.765763401351617
"140","65–69 Years","Hauraki-Waikato","Female",1062,-0.765763401351617
"141","70–74 Years","Hauraki-Waikato","Female",708,-0.765763401351617
"142","75–79 Years","Hauraki-Waikato","Female",417,-0.765763401351617
"143","80–84 Years","Hauraki-Waikato","Female",282,-0.765763401351617
"144","85 Years And Over","Hauraki-Waikato","Female",153,-0.765763401351617
"145","0–4 Years","Tāmaki Makaurau","Male",5235,-0.765323992994746
"146","5–9 Years","Tāmaki Makaurau","Male",4800,-0.765323992994746
"147","10–14 Years","Tāmaki Makaurau","Male",4416,-0.765323992994746
"148","15–19 Years","Tāmaki Makaurau","Male",4329,-0.765323992994746
"149","20–24 Years","Tāmaki Makaurau","Male",3702,-0.765323992994746
"150","25–29 Years","Tāmaki Makaurau","Male",2703,-0.765323992994746
"151","30–34 Years","Tāmaki Makaurau","Male",2427,-0.765323992994746
"152","35–39 Years","Tāmaki Makaurau","Male",2496,-0.765323992994746
"153","40–44 Years","Tāmaki Makaurau","Male",2619,-0.765323992994746
"154","45–49 Years","Tāmaki Makaurau","Male",2427,-0.765323992994746
"155","50–54 Years","Tāmaki Makaurau","Male",2133,-0.765323992994746
"156","55–59 Years","Tāmaki Makaurau","Male",1602,-0.765323992994746
"157","60–64 Years","Tāmaki Makaurau","Male",1200,-0.765323992994746
"158","65–69 Years","Tāmaki Makaurau","Male",852,-0.765323992994746
"159","70–74 Years","Tāmaki Makaurau","Male",552,-0.765323992994746
"160","75–79 Years","Tāmaki Makaurau","Male",300,-0.765323992994746
"161","80–84 Years","Tāmaki Makaurau","Male",114,-0.765323992994746
"162","85 Years And Over","Tāmaki Makaurau","Male",57,-0.765323992994746
"163","0–4 Years","Tāmaki Makaurau","Female",4899,-0.765323992994746
